aX,aY,aZ,gX,gY,gZ
-0.299,-0.250,0.927,-3.723,8.301,1.892
-0.235,-0.278,0.906,-4.944,5.615,-4.333
-0.179,-0.301,0.891,-5.554,3.723,-9.399
0.662,-0.254,1.217,17.151,-19.714,22.278
0.701,-0.259,1.250,16.602,-23.132,29.480
0.739,-0.258,1.266,14.343,-25.269,38.147
0.745,-0.251,1.278,12.085,-29.053,46.753
0.731,-0.236,1.285,9.949,-33.630,55.420
0.702,-0.213,1.280,7.446,-37.048,63.599
0.652,-0.211,1.273,5.188,-39.612,70.801
0.599,-0.213,1.274,4.944,-41.870,76.721
0.547,-0.202,1.294,6.714,-42.419,80.811
0.490,-0.212,1.313,10.620,-40.039,84.412
0.440,-0.254,1.344,16.785,-36.682,87.524
0.414,-0.284,1.389,24.597,-32.898,88.074
0.409,-0.325,1.446,32.471,-27.100,87.463
0.415,-0.377,1.494,40.039,-22.034,88.745
0.394,-0.421,1.537,44.006,-19.165,92.468
0.376,-0.465,1.557,43.884,-16.174,95.520
0.365,-0.482,1.550,39.368,-14.282,98.450
0.318,-0.512,1.515,31.799,-14.160,101.868
0.249,-0.526,1.477,21.912,-14.832,104.065
0.140,-0.525,1.429,11.047,-19.226,102.356
0.187,-0.532,1.348,-0.610,-23.254,97.412
0.104,-0.544,1.284,-13.611,-37.476,89.111
0.086,-0.554,1.219,-27.466,-44.861,87.402
0.071,-0.573,1.156,-38.086,-42.297,86.121
0.033,-0.568,1.102,-41.138,-37.231,85.144
0.008,-0.551,1.055,-37.415,-28.992,84.961
-0.041,-0.552,1.008,-30.396,-18.494,83.923
-0.053,-0.535,0.991,-24.231,-8.057,80.078
-0.100,-0.540,0.933,-16.663,-3.174,77.087
-0.139,-0.558,0.896,-10.193,-2.991,74.768
-0.167,-0.559,0.880,-5.066,-1.770,69.946
-0.132,-0.554,0.875,-1.404,1.709,64.026
-0.223,-0.578,0.845,-2.441,7.019,56.213
-0.204,-0.564,0.850,-7.568,8.301,54.443
-0.197,-0.541,0.814,-13.794,2.258,58.655
-0.215,-0.508,0.798,-21.423,-2.380,52.246
-0.270,-0.497,0.777,-26.367,-13.611,41.870
-0.331,-0.482,0.769,-31.555,-22.217,30.884
-0.336,-0.474,0.755,-36.377,-24.902,23.987
-0.355,-0.458,0.731,-39.307,-25.146,18.433
-0.381,-0.458,0.723,-37.964,-23.071,14.465
-0.382,-0.453,0.719,-33.508,-16.968,11.353
-0.391,-0.431,0.742,-30.090,-9.949,7.690
-0.413,-0.422,0.774,-28.320,-7.202,6.042
-0.430,-0.399,0.817,-29.846,-7.507,6.775
-0.463,-0.392,0.852,-33.203,-7.690,7.141
-0.497,-0.390,0.889,-38.330,-7.812,2.991
-0.516,-0.403,0.923,-44.739,-11.047,0.610
-0.531,-0.417,0.953,-52.673,-13.672,-1.831
-0.525,-0.420,0.970,-60.120,-14.404,-5.066
-0.513,-0.408,0.976,-65.491,-12.268,-8.545
-0.498,-0.389,0.973,-68.542,-8.057,-10.498
-0.503,-0.350,0.971,-69.214,-2.869,-11.292
-0.526,-0.314,0.974,-67.749,2.197,-12.146
-0.547,-0.280,0.976,-65.430,6.592,-14.648
-0.528,-0.242,0.989,-64.209,12.451,-19.531
-0.527,-0.222,0.988,-62.622,17.212,-23.865
-0.511,-0.208,0.993,-62.683,19.775,-28.015
-0.495,-0.202,0.989,-65.491,21.545,-33.081
-0.471,-0.203,0.982,-70.190,21.484,-38.940
-0.448,-0.203,0.988,-75.439,18.494,-43.518
-0.437,-0.205,0.994,-81.299,14.648,-46.936
-0.439,-0.203,0.986,-87.708,12.207,-50.110
-0.431,-0.175,0.971,-93.750,11.719,-52.979
-0.424,-0.149,0.951,-97.717,12.085,-55.054
-0.417,-0.130,0.926,-100.037,13.733,-57.434
-0.414,-0.109,0.899,-100.647,16.907,-60.669
-0.416,-0.106,0.876,-100.159,20.813,-64.453
-0.377,-0.091,0.856,-99.670,24.719,-67.749
-0.363,-0.098,0.829,-99.731,26.123,-70.313
-0.349,-0.105,0.805,-99.365,27.039,-71.838
-0.341,-0.095,0.786,-98.755,28.198,-72.693
-0.334,-0.060,0.773,-97.656,30.273,-73.059
-0.317,-0.024,0.760,-97.534,32.349,-73.914
-0.308,0.006,0.737,-99.182,33.325,-74.890
-0.292,0.047,0.715,-101.501,32.166,-76.111
-0.281,0.074,0.689,-104.614,29.175,-78.796
-0.268,0.090,0.659,-108.398,25.818,-82.092
-0.276,0.096,0.626,-111.450,22.827,-85.022
-0.274,0.093,0.591,-112.488,21.606,-88.806
-0.267,0.094,0.555,-110.474,23.315,-93.384
-0.262,0.091,0.523,-104.187,27.893,-97.290
-0.247,0.093,0.499,-95.032,34.485,-101.685
-0.223,0.095,0.477,-85.083,40.588,-106.262
-0.190,0.094,0.452,-76.599,44.800,-110.168
-0.158,0.093,0.433,-68.726,46.692,-113.403
-0.136,0.087,0.432,-62.317,45.776,-115.784
-0.113,0.073,0.432,-58.960,42.297,-117.859
-0.090,0.058,0.429,-59.509,36.743,-120.117
-0.055,0.042,0.410,-62.744,28.992,-121.582
-0.026,0.030,0.388,-66.650,20.020,-121.399
-0.003,0.013,0.359,-70.618,11.047,-119.873
0.020,0.009,0.333,-72.754,3.235,-117.310
0.031,0.009,0.308,-71.167,-3.845,-114.685
0.045,0.004,0.288,-66.223,-8.423,-112.854
0.062,0.000,0.268,-58.289,-9.155,-112.122
0.092,-0.007,0.249,-47.302,-6.042,-111.328
0.134,-0.020,0.228,-35.339,-0.977,-110.962
0.184,-0.043,0.203,-25.330,2.380,-110.840
0.226,-0.081,0.183,-19.287,1.953,-111.023
0.286,-0.120,0.166,-18.494,-2.808,-110.962
0.329,-0.172,0.152,-21.606,-12.085,-110.657
0.400,-0.224,0.134,-26.794,-24.780,-110.229
0.486,-0.267,0.107,-31.006,-36.438,-109.192
0.579,-0.303,0.080,-30.945,-45.105,-106.873
0.665,-0.319,0.070,-23.560,-49.805,-102.234
0.714,-0.344,0.069,-9.155,-51.147,-94.727
0.766,-0.380,0.107,8.240,-49.805,-86.243
0.847,-0.431,0.168,24.475,-48.340,-77.881
0.898,-0.474,0.224,38.269,-48.340,-67.383
0.913,-0.498,0.285,49.255,-48.096,-55.420
0.893,-0.479,0.332,57.800,-46.997,-44.128
0.877,-0.433,0.364,60.303,-45.837,-37.231
0.892,-0.403,0.379,57.068,-48.279,-35.217
0.917,-0.366,0.398,52.673,-53.894,-32.776
0.927,-0.355,0.419,53.772,-58.533,-28.015
0.965,-0.359,0.455,61.951,-57.739,-20.630
0.984,-0.334,0.496,72.205,-53.345,-10.925
0.973,-0.307,0.527,81.360,-48.767,-1.099
0.530,-0.388,1.217,145.203,-102.417,62.134
0.424,-0.396,1.364,142.151,-108.215,66.528
0.367,-0.403,1.519,139.282,-109.192,66.101
0.310,-0.391,1.656,133.484,-111.145,65.552
0.246,-0.389,1.733,123.291,-112.000,68.176
0.192,-0.384,1.766,110.291,-102.966,71.960
0.140,-0.368,1.746,99.426,-85.083,78.674
0.072,-0.328,1.698,94.543,-63.599,87.158
0.003,-0.291,1.646,95.581,-41.687,93.994
-0.065,-0.259,1.629,98.328,-25.696,97.229
-0.095,-0.232,1.629,104.126,-27.283,97.656
-0.262,-0.198,1.682,107.910,-38.086,76.111
-0.341,-0.180,1.824,99.182,-57.434,69.763
-0.328,-0.221,1.905,86.121,-65.735,70.679
-0.458,-0.248,1.968,70.129,-68.665,66.162
-0.461,-0.274,1.984,54.993,-56.091,63.110
-0.442,-0.273,1.937,40.894,-35.645,63.232
-0.397,-0.249,1.796,29.358,-10.559,63.477
-0.331,-0.262,1.627,22.766,10.803,61.646
-0.308,-0.235,1.451,19.958,18.066,58.655
-0.241,-0.213,1.347,20.508,27.344,58.838
-0.263,-0.162,1.306,24.719,28.442,57.007
-0.309,-0.150,1.325,31.921,18.799,54.260
-0.333,-0.166,1.389,34.607,4.639,47.791
-0.353,-0.198,1.464,31.006,-3.967,36.926
-0.328,-0.254,1.451,25.269,-3.235,29.053
-0.307,-0.280,1.435,19.592,5.737,24.963
-0.266,-0.279,1.368,14.832,13.184,24.780
-0.229,-0.271,1.273,10.193,22.766,23.987
-0.203,-0.266,1.156,6.287,29.724,22.827
-0.163,-0.270,1.047,2.686,32.104,20.020
-0.113,-0.272,0.962,0.061,29.602,16.357
-0.066,-0.288,0.891,-1.343,23.682,12.512
-0.020,-0.321,0.846,-1.282,15.625,8.789
0.010,-0.349,0.846,1.099,6.897,4.395
0.027,-0.375,0.871,5.798,-1.038,1.648
