aX,aY,aZ,gX,gY,gZ
-0.548,0.127,2.680,33.508,-119.141,-63.599
-0.552,0.131,2.687,24.292,-90.820,-71.228
-0.561,0.066,2.612,13.306,-62.256,-79.956
-0.574,0.108,2.559,-0.122,-38.574,-87.769
-0.546,0.084,2.445,-11.414,-17.761,-97.961
-0.489,0.002,2.241,-30.151,4.517,-106.323
-0.489,-0.096,2.276,-50.842,0.244,-104.919
-0.602,-0.091,2.250,-43.335,-20.996,-114.380
-0.534,-0.164,2.197,-4.578,-22.034,-138.306
-0.654,-0.225,2.074,46.814,-23.682,-150.818
-0.622,-0.250,1.839,70.801,38.025,-150.391
-0.523,-0.279,1.648,83.008,88.867,-151.794
-0.475,-0.340,1.524,89.539,102.539,-155.640
-0.422,-0.457,1.452,83.435,101.379,-157.288
-0.382,-0.561,1.381,66.711,100.586,-153.442
-0.343,-0.705,1.270,48.462,98.877,-147.034
-0.322,-0.811,1.165,30.151,94.971,-140.137
-0.267,-0.908,1.056,14.404,91.248,-133.545
-0.214,-0.994,0.974,1.953,88.074,-127.319
-0.169,-1.015,0.895,-8.789,84.045,-120.178
-0.115,-1.039,0.742,-15.747,78.430,-113.525
-0.074,-1.057,0.681,-22.888,69.641,-109.314
-0.028,-1.060,0.646,-27.161,61.035,-104.309
0.009,-1.043,0.630,-24.170,55.481,-98.389
0.041,-1.023,0.635,-17.029,51.941,-91.919
0.077,-1.019,0.627,-10.437,49.500,-84.229
0.103,-1.021,0.665,-8.728,45.654,-75.684
0.116,-1.002,0.712,-11.963,41.626,-66.040
0.106,-0.974,0.736,-17.456,38.574,-55.847
0.110,-0.946,0.766,-22.522,36.072,-47.852
0.129,-0.920,0.786,-26.123,33.752,-41.199
0.117,-0.902,0.796,-27.649,30.518,-33.875
0.103,-0.857,0.805,-26.245,28.137,-26.184
0.087,-0.800,0.815,-20.386,26.978,-19.348
0.074,-0.732,0.835,-11.536,25.391,-14.160
0.072,-0.662,0.838,-2.502,24.658,-11.414
0.079,-0.617,0.851,3.845,23.193,-9.338
0.083,-0.567,0.848,6.592,21.301,-5.615
0.082,-0.522,0.848,9.033,16.968,-2.686
0.062,-0.491,0.853,11.414,14.771,-0.793
0.049,-0.419,0.859,9.705,19.897,3.601
0.052,-0.362,0.842,6.470,26.733,7.874
0.044,-0.317,0.848,5.859,25.085,8.240
0.048,-0.288,0.837,5.981,21.423,6.287
0.073,-0.290,0.856,3.601,14.893,5.493
0.036,-0.269,0.867,-1.526,10.193,7.019
0.028,-0.269,0.869,-7.202,12.146,7.690
0.004,-0.275,0.889,-10.742,10.986,9.827
0.022,-0.251,0.869,-14.282,19.165,11.780
0.029,-0.236,0.866,-12.695,19.531,12.085
0.021,-0.255,0.885,-7.385,11.047,10.071
0.009,-0.268,0.913,-0.488,5.188,7.935
0.000,-0.271,0.923,6.104,5.249,7.141
-0.006,-0.270,0.906,11.841,8.972,7.019
-0.003,-0.265,0.895,16.357,9.644,5.798
-0.010,-0.282,0.908,18.921,6.592,4.639
-0.010,-0.290,0.922,17.517,7.141,4.944
-0.008,-0.281,0.932,14.648,9.155,4.944
-0.009,-0.294,0.942,12.817,8.606,3.662
-0.014,-0.315,0.942,9.277,8.789,3.296
-0.011,-0.330,0.930,5.066,9.705,4.150
-0.014,-0.327,0.903,2.197,9.949,4.822
-0.015,-0.319,0.895,-1.099,8.667,5.005
-0.012,-0.330,0.892,-4.639,7.019,5.127
-0.012,-0.334,0.911,-7.690,5.249,5.554
-0.010,-0.329,0.919,-7.751,4.639,5.676
-0.009,-0.322,0.917,-5.493,4.883,5.432
-0.003,-0.311,0.917,-3.479,4.700,4.517
0.006,-0.305,0.937,-1.892,4.639,4.456
0.010,-0.292,0.943,0.061,5.005,4.883
0.012,-0.285,0.938,2.502,5.615,4.883
0.014,-0.280,0.940,4.211,6.165,4.761
0.020,-0.276,0.945,4.333,6.592,4.211
0.023,-0.272,0.931,4.211,7.019,4.089
0.021,-0.274,0.922,2.869,7.141,4.028
0.025,-0.276,0.922,1.038,6.836,3.723
0.028,-0.275,0.916,0.305,6.836,3.235
0.031,-0.275,0.903,-0.183,6.653,2.869
0.032,-0.279,0.901,-1.587,5.676,2.441
0.036,-0.287,0.905,-3.113,4.944,2.747
0.041,-0.284,0.902,-3.845,4.333,3.296
0.038,-0.282,0.894,-3.601,3.967,3.235
0.041,-0.289,0.902,-2.258,3.113,2.625
0.041,-0.299,0.907,-0.061,2.625,2.441
0.039,-0.299,0.904,2.808,2.319,2.136
0.044,-0.306,0.905,6.409,2.014,1.892
0.047,-0.309,0.900,8.789,2.014,2.014
0.047,-0.307,0.907,9.766,1.221,2.563
0.042,-0.300,0.913,9.888,0.793,3.113
0.043,-0.293,0.908,9.644,0.671,3.662
0.044,-0.298,0.907,7.812,0.305,3.662
0.044,-0.304,0.910,4.517,-0.549,3.723
0.042,-0.298,0.905,1.282,-1.282,4.211
0.043,-0.295,0.916,-1.038,-1.892,4.578
0.038,-0.289,0.917,-3.052,-2.441,4.456
0.044,-0.301,0.925,-4.150,-2.747,4.028
0.044,-0.304,0.932,-5.066,-2.747,4.150
0.038,-0.295,0.936,-5.920,-2.625,4.944
0.039,-0.295,0.942,-5.615,-2.625,5.188
0.041,-0.293,0.936,-4.639,-1.831,5.188
0.039,-0.293,0.932,-2.930,-1.465,4.944
0.045,-0.298,0.933,-1.587,-1.587,4.822
0.038,-0.288,0.939,-1.099,-1.648,5.493
0.036,-0.284,0.929,0.244,-1.160,5.798
0.036,-0.290,0.928,1.404,-1.587,5.371
0.034,-0.279,0.927,2.197,-2.197,5.310
0.036,-0.280,0.927,2.808,-2.136,4.822
0.036,-0.283,0.936,2.502,-2.563,4.272
0.032,-0.272,0.937,1.648,-2.747,4.578
