aX,aY,aZ,gX,gY,gZ
-0.576,1.018,0.970,79.834,-8.667,-17.700
-0.726,1.184,1.288,65.125,-15.625,-32.227
-0.837,1.191,1.512,45.105,-14.160,-50.171
-0.901,1.088,1.776,32.227,-7.629,-69.641
-0.905,0.984,1.883,31.006,7.812,-88.501
-0.854,0.883,1.882,38.635,27.893,-104.431
-0.768,0.786,1.821,48.523,46.631,-118.042
-0.647,0.684,1.734,56.030,61.890,-130.493
-0.463,0.590,1.627,61.340,73.181,-142.761
-0.270,0.458,1.538,59.998,78.186,-153.687
-0.074,0.288,1.431,43.030,75.195,-163.940
0.091,0.067,1.292,14.954,66.956,-172.913
0.224,-0.172,1.262,-19.958,52.307,-179.199
0.318,-0.396,1.353,-49.866,35.461,-181.763
0.414,-0.590,1.397,-64.514,25.818,-179.626
0.462,-0.785,1.432,-59.814,23.804,-171.753
0.478,-0.997,1.501,-40.161,27.222,-159.485
0.500,-1.178,1.597,-13.733,34.119,-145.447
0.509,-1.285,1.652,8.850,41.748,-132.690
0.502,-1.363,1.653,9.705,44.739,-123.962
0.483,-1.502,1.811,-21.973,35.583,-118.530
0.464,-1.717,2.059,-72.327,24.231,-112.488
0.445,-1.980,2.216,-109.985,24.475,-101.868
0.406,-2.202,2.317,-116.882,36.621,-84.961
0.388,-2.402,2.232,-97.656,59.387,-62.622
0.344,-2.447,2.114,-67.444,83.374,-36.987
0.310,-2.411,2.002,-40.588,101.685,-12.146
0.274,-2.398,1.957,-24.963,113.708,10.376
0.189,-2.336,1.854,-21.057,124.268,32.471
0.166,-2.290,1.595,-19.775,136.230,52.673
0.089,-2.177,1.355,-25.818,139.954,74.341
0.019,-2.095,1.191,-36.926,138.184,91.797
-0.081,-1.948,0.978,-44.006,140.137,110.046
-0.146,-1.818,0.589,-46.387,145.142,126.221
-0.215,-1.723,0.285,-43.152,142.578,142.578
-0.270,-1.659,0.026,-34.912,137.573,158.997
-0.344,-1.520,-0.243,-21.545,131.287,176.392
-0.420,-1.370,-0.523,-6.042,122.253,192.139
-0.485,-1.275,-0.699,3.662,106.934,206.299
-0.587,-1.220,-0.885,8.972,89.661,221.558
-0.665,-1.099,-1.045,12.207,70.007,236.938
-0.730,-0.979,-1.202,16.174,48.218,250.122
-0.830,-0.799,-1.294,17.517,24.475,263.184
-0.971,-0.564,-1.408,17.822,1.587,273.437
-1.070,-0.410,-1.549,19.287,-19.897,278.564
-1.150,-0.283,-1.603,18.738,-45.166,281.494
-1.253,-0.063,-1.615,20.447,-70.740,283.813
-1.394,0.263,-1.483,25.391,-96.863,283.875
-1.526,0.588,-1.354,26.489,-119.812,280.029
-1.622,0.861,-1.280,26.123,-136.475,272.156
-1.696,1.059,-1.037,25.452,-154.602,260.620
-1.800,1.386,-0.687,18.127,-172.607,247.070
