aX,aY,aZ,gX,gY,gZ
1.250,0.686,2.084,38.879,-34.119,2.991
1.484,0.965,2.378,48.279,-39.490,12.024
1.631,1.138,2.487,52.307,-36.743,27.405
1.720,1.310,2.446,49.866,-29.053,45.349
1.703,1.556,2.351,43.274,-21.362,63.354
1.605,1.830,2.207,29.541,-18.982,78.308
1.435,2.060,2.059,5.737,-28.320,82.947
1.178,2.248,1.886,-32.166,-45.898,77.698
0.805,2.375,1.675,-78.491,-65.430,65.918
0.241,2.420,1.415,-120.422,-82.947,47.852
-0.476,2.480,1.121,-150.879,-96.680,24.292
-1.307,2.434,0.784,-166.077,-106.018,-5.920
-2.207,2.223,0.454,-158.203,-111.328,-45.959
-3.044,1.786,0.038,-131.897,-108.887,-97.900
-3.735,1.052,-0.408,-94.299,-99.182,-164.246
-3.977,-0.068,-0.925,-27.161,-63.904,-247.009
-3.923,-1.701,-1.407,65.491,-43.518,-336.609
-3.539,-3.692,-1.556,157.410,-38.086,-405.518
-3.147,-4.000,-1.399,233.154,-37.109,-429.443
-2.616,-4.000,-0.818,288.086,-26.184,-407.837
-1.404,-4.000,0.302,328.857,8.118,-368.408
0.346,-4.000,1.229,325.439,85.266,-292.847
1.948,-4.000,1.105,254.822,198.242,-175.781
2.663,-4.000,0.211,155.090,297.852,-15.015
2.048,-4.000,-0.840,64.209,324.768,170.959
0.389,-3.446,-1.536,-15.320,241.638,316.895
-1.151,-2.480,-1.613,-70.801,80.322,349.426
-1.966,-2.109,-1.048,-104.736,-88.623,281.555
-2.323,-1.998,-0.503,-133.667,-200.928,201.965
-2.515,-1.843,-0.121,-150.208,-230.652,162.415
-2.511,-1.789,0.070,-130.249,-189.575,150.940
-2.347,-1.748,0.103,-93.079,-118.225,155.090
-2.213,-1.507,0.012,-64.026,-55.420,175.415
-2.162,-1.057,-0.161,-47.913,-16.418,192.871
-2.009,-0.595,-0.259,-36.133,-2.258,184.387
-1.706,-0.185,-0.243,-26.855,-8.545,152.039
-1.321,0.209,-0.145,-26.428,-27.161,112.793
-0.918,0.584,0.046,-26.489,-44.983,75.195
-0.545,0.887,0.271,-18.250,-54.016,43.945
-0.243,1.044,0.537,-4.150,-56.274,21.240
-0.068,1.179,0.873,13.123,-51.636,9.094
0.084,1.454,1.209,27.039,-37.598,3.113
0.276,1.712,1.483,34.912,-14.893,-2.380
0.482,1.783,1.625,45.166,13.794,-7.019
0.675,1.629,1.591,62.378,46.692,-7.324
0.769,1.352,1.498,75.195,73.303,-1.343
0.740,1.164,1.412,76.660,84.473,6.897
0.646,1.053,1.348,66.406,80.627,8.179
0.614,0.916,1.362,56.091,64.575,-1.221
0.602,0.690,1.491,49.988,44.678,-14.587
0.580,0.429,1.620,44.678,31.860,-21.973
0.592,0.186,1.697,38.208,30.273,-21.545
0.589,0.016,1.680,26.855,35.583,-15.259
0.562,-0.119,1.548,13.916,40.649,-6.958
0.538,-0.251,1.387,4.700,41.748,-2.075
0.531,-0.367,1.245,-0.488,36.560,-1.282
0.531,-0.469,1.170,-4.150,26.306,-2.197
0.542,-0.524,1.186,-4.517,15.808,-3.113
0.525,-0.554,1.195,-4.700,10.559,-3.296
0.542,-0.552,1.186,-5.554,8.606,-2.869
0.532,-0.540,1.158,-7.568,7.385,-1.526
0.480,-0.534,1.135,-10.315,5.310,1.587
0.417,-0.539,1.120,-13.428,1.648,2.930
0.345,-0.532,1.114,-18.982,-2.258,4.883
0.276,-0.507,1.096,-24.963,-4.944,8.667
0.216,-0.464,1.085,-28.564,-5.676,13.245
0.165,-0.405,1.075,-30.884,-4.944,17.456
0.132,-0.337,1.047,-32.898,-3.113,19.531
0.120,-0.294,1.007,-32.898,-1.099,19.287
0.120,-0.271,0.975,-30.273,0.366,18.127
0.108,-0.242,0.943,-26.184,1.770,17.273
0.093,-0.229,0.920,-21.545,4.028,16.052
0.086,-0.226,0.899,-18.311,5.066,13.550
0.094,-0.241,0.883,-17.090,4.700,10.254
0.109,-0.261,0.883,-16.541,2.991,7.507
0.130,-0.282,0.882,-17.090,1.587,6.775
0.137,-0.286,0.892,-17.212,1.282,8.423
0.138,-0.290,0.885,-15.930,2.808,11.353
0.136,-0.289,0.878,-14.038,4.456,13.672
0.123,-0.287,0.876,-13.611,4.700,14.771
0.119,-0.292,0.872,-13.428,3.418,13.733
0.117,-0.289,0.872,-11.841,1.709,11.719
0.110,-0.284,0.879,-8.850,1.099,10.071
0.107,-0.282,0.889,-4.517,2.319,9.216
0.114,-0.287,0.892,-0.244,4.822,8.972
0.115,-0.286,0.889,2.380,6.531,8.728
0.123,-0.282,0.880,2.686,7.324,7.690
0.140,-0.298,0.879,2.380,7.324,6.226
0.156,-0.317,0.897,0.977,6.348,5.798
0.155,-0.324,0.902,-1.587,6.470,6.531
0.161,-0.327,0.887,-4.150,6.958,6.470
0.167,-0.335,0.872,-5.737,6.226,5.493
0.163,-0.332,0.865,-6.287,4.089,4.822
0.160,-0.335,0.857,-6.226,1.709,3.296
0.165,-0.352,0.855,-5.493,-0.488,1.404
0.180,-0.377,0.853,-4.700,-1.831,0.244
0.189,-0.386,0.859,-4.333,-2.380,0.000
