aX,aY,aZ,gX,gY,gZ
-1.344,0.869,0.395,67.322,70.129,13.000
-0.272,0.642,-0.200,-4.700,96.558,47.607
0.122,0.196,2.018,-16.113,137.939,44.800
0.053,-0.062,0.823,-4.639,65.308,27.344
0.131,0.042,0.569,-4.700,84.045,23.315
0.091,0.166,1.110,-11.963,13.672,16.846
0.330,0.106,0.851,-8.728,7.263,11.292
0.258,0.055,0.842,-8.057,6.348,3.052
0.173,-0.030,0.962,-17.578,-18.433,-1.892
0.158,-0.088,1.021,-17.639,-23.315,4.150
0.113,-0.096,1.001,-13.550,-19.775,13.123
0.067,-0.092,1.001,-9.033,-10.071,21.362
0.032,-0.062,1.047,-4.944,-2.502,23.499
-0.016,-0.013,0.974,-0.671,2.930,22.888
-0.010,0.024,0.985,2.075,6.287,18.494
0.016,0.055,0.960,3.174,6.775,10.803
0.048,-0.002,0.974,3.723,3.723,4.700
0.059,0.008,0.961,4.639,3.418,3.357
0.077,0.004,0.939,5.249,1.648,2.747
0.069,0.006,0.970,4.822,-1.770,2.502
0.067,0.005,0.937,4.150,-4.211,2.502
0.067,0.006,0.969,3.662,-4.761,2.625
0.064,0.005,0.979,3.296,-4.089,2.502
0.066,0.009,0.957,3.296,-2.502,2.625
0.078,0.013,0.972,3.174,-0.488,2.930
0.078,0.009,0.968,2.686,0.305,3.052
0.080,0.010,0.954,1.953,0.610,3.235
0.080,0.012,0.961,1.465,0.488,3.174
0.075,0.003,0.962,1.282,-0.610,3.113
0.069,0.002,0.965,1.221,-1.526,3.174
0.069,0.005,0.956,1.465,-1.587,3.479
0.064,0.002,0.967,1.282,-2.380,3.357
0.060,-0.000,0.965,1.282,-2.502,3.479
0.062,-0.001,0.958,1.709,-2.380,3.479
0.059,0.002,0.972,2.319,-2.136,3.296
0.060,0.002,0.967,2.747,-1.526,3.540
0.064,0.006,0.962,2.869,-0.488,3.723
0.068,0.006,0.965,3.174,0.061,3.662
0.071,0.005,0.962,2.991,0.305,3.784
0.074,0.004,0.959,2.991,0.427,3.723
0.075,0.006,0.963,2.991,0.244,3.845
0.077,0.007,0.964,2.991,0.122,3.784
0.077,0.009,0.957,2.625,-0.061,3.845
0.076,0.008,0.961,2.258,-0.793,3.723
0.074,0.006,0.962,1.953,-1.465,3.601
0.071,0.006,0.962,1.709,-1.892,3.479
0.069,0.004,0.964,1.709,-1.892,3.418
0.068,0.003,0.963,1.709,-2.014,3.418
0.068,0.002,0.962,1.709,-1.892,3.479
0.067,0.002,0.962,2.014,-1.892,3.296
0.066,0.002,0.966,2.136,-1.831,3.357
0.066,0.001,0.965,2.441,-1.465,3.357
0.070,0.007,0.960,2.930,-1.160,3.357
0.069,0.004,0.963,3.052,-1.160,3.357
0.070,0.008,0.964,3.113,-1.160,3.418
0.071,0.007,0.962,3.052,-0.977,3.479
0.073,0.007,0.963,2.930,-0.916,3.540
0.074,0.005,0.961,2.808,-0.916,3.540
0.075,0.006,0.961,2.869,-0.793,3.479
0.074,0.006,0.961,2.808,-0.854,3.662
0.073,0.007,0.962,2.747,-0.916,3.662
0.072,0.007,0.963,2.502,-0.977,3.723
0.072,0.006,0.963,2.197,-1.282,3.662
0.070,0.005,0.965,2.075,-1.221,3.601
0.070,0.004,0.963,2.136,-1.465,3.357
0.069,0.005,0.965,2.075,-1.587,3.418
0.069,0.004,0.964,2.014,-1.526,3.418
0.070,0.003,0.961,2.258,-1.343,3.540
0.070,0.006,0.963,2.258,-1.404,3.662
0.070,0.006,0.964,2.441,-1.465,3.662
0.071,0.007,0.964,2.319,-1.343,3.723
0.073,0.005,0.962,2.380,-1.343,3.723
0.072,0.006,0.964,2.258,-1.282,3.540
0.074,0.005,0.963,2.563,-1.221,3.723
0.073,0.005,0.964,2.808,-1.282,3.662
0.072,0.004,0.965,2.869,-1.221,3.601
0.072,0.006,0.963,3.235,-1.526,3.601
0.072,0.005,0.964,3.174,-1.343,3.662
0.072,0.005,0.963,3.296,-1.465,3.601
0.072,0.007,0.962,3.174,-1.587,3.418
0.071,0.006,0.963,3.113,-2.014,3.540
0.072,0.005,0.962,3.113,-2.136,3.662
0.069,0.006,0.965,3.113,-2.014,3.784
0.070,0.005,0.964,3.235,-2.136,3.662
0.070,0.007,0.965,3.113,-2.197,3.662
0.071,0.007,0.964,3.235,-1.953,3.906
0.072,0.008,0.963,3.113,-1.770,3.784
0.072,0.010,0.961,2.808,-2.014,3.784
0.071,0.008,0.964,2.380,-2.197,3.723
0.074,0.004,0.961,2.075,-2.319,3.418
0.072,0.002,0.965,2.075,-2.441,3.418
0.070,0.004,0.968,2.441,-2.319,3.418
0.071,0.003,0.966,2.869,-1.953,3.662
0.071,0.003,0.965,3.174,-1.526,3.723
0.070,0.006,0.964,3.479,-1.648,3.906
0.070,0.007,0.965,3.723,-1.770,3.906
0.070,0.007,0.960,3.662,-1.831,3.967
0.071,0.007,0.960,3.479,-1.953,4.028
0.070,0.007,0.963,3.113,-2.197,3.967
0.069,0.005,0.966,2.380,-2.380,3.845
0.070,0.005,0.966,2.563,-2.258,3.845
0.069,0.004,0.966,2.502,-2.014,3.784
0.068,0.005,0.969,2.686,-1.770,3.723
0.069,0.006,0.966,2.563,-1.587,3.784
0.070,0.006,0.963,2.563,-1.465,3.906
0.075,0.007,0.958,2.502,-1.526,3.784
0.073,0.005,0.964,2.258,-2.136,3.662
0.070,0.004,0.967,2.319,-2.441,3.784
0.069,0.004,0.966,2.502,-2.197,3.784
0.070,0.003,0.964,2.563,-1.953,4.028
0.068,0.005,0.963,2.869,-1.892,3.967
0.068,0.005,0.964,2.991,-1.831,3.845
0.069,0.005,0.963,3.052,-1.831,3.723
0.068,0.005,0.966,2.747,-1.709,3.662
0.070,0.005,0.965,2.441,-1.648,3.723
0.070,0.004,0.965,2.441,-1.709,3.662
0.069,0.006,0.966,2.808,-1.709,3.723
0.069,0.005,0.965,2.747,-1.709,3.906
0.104,-0.354,2.121,-38.513,-96.008,24.231
0.156,-0.198,2.281,-39.001,-71.899,15.808
0.042,-0.281,2.171,-0.854,-26.550,-13.062
-0.120,-0.568,2.002,19.836,-5.005,-20.508
-0.168,-0.581,1.863,1.404,6.836,-5.798
-0.028,-0.370,1.993,-21.179,9.277,6.714
-0.019,-0.229,2.290,-22.766,1.160,9.644
0.012,-0.274,2.423,-12.512,15.808,7.507
0.027,-0.292,2.481,-10.620,37.415,8.850
0.033,-0.260,2.427,-11.658,56.213,15.015
0.020,-0.170,2.377,-0.916,65.186,20.386
0.043,-0.063,2.341,14.648,76.050,24.231
0.053,0.001,2.294,30.090,87.341,25.574
0.071,0.083,2.181,43.884,98.633,25.513
0.068,0.164,2.033,56.641,110.352,25.146
0.059,0.279,1.877,66.467,121.399,25.085
0.098,0.352,1.694,74.219,129.211,25.452
0.106,0.380,1.522,79.651,132.690,24.597
0.098,0.433,1.372,76.294,135.681,23.193
0.090,0.452,1.250,70.496,138.733,21.545
0.082,0.454,1.177,68.970,140.320,17.578
0.077,0.440,1.199,71.350,142.395,13.062
0.085,0.437,1.159,77.942,146.301,8.728
0.087,0.449,1.098,88.318,150.330,4.211
0.103,0.473,1.033,100.586,151.794,-0.366
0.109,0.512,0.922,110.657,153.259,-4.944
0.098,0.551,0.783,115.295,157.104,-10.132
0.098,0.574,0.609,111.694,162.598,-13.794
0.103,0.567,0.453,100.525,166.382,-15.808
0.098,0.533,0.292,86.548,165.955,-17.517
0.101,0.466,0.191,73.669,159.912,-19.165
0.095,0.392,0.130,62.622,149.231,-18.799
0.095,0.329,0.072,56.396,135.437,-17.700
0.078,0.265,0.010,55.237,119.934,-16.235
0.061,0.223,-0.082,59.387,110.352,-18.555
0.083,0.219,-0.199,66.162,105.286,-21.912
0.088,0.211,-0.285,71.228,92.651,-24.231
0.087,0.193,-0.382,71.655,82.397,-26.062
0.088,0.148,-0.472,68.054,76.782,-27.466
0.083,0.081,-0.540,62.744,65.491,-28.259
0.060,0.005,-0.600,58.716,51.514,-29.602
0.056,-0.052,-0.631,58.960,39.185,-31.555
0.068,-0.092,-0.600,62.622,27.466,-33.142
0.081,-0.122,-0.559,65.857,16.052,-35.156
0.075,-0.151,-0.527,65.857,7.324,-37.292
0.070,-0.184,-0.490,63.904,0.916,-39.063
0.069,-0.220,-0.446,59.875,-2.991,-40.588
0.074,-0.246,-0.399,52.856,-6.226,-40.710
0.062,-0.262,-0.377,44.006,-9.705,-39.673
0.053,-0.283,-0.361,34.668,-14.038,-39.124
0.051,-0.306,-0.353,21.667,-18.555,-37.048
0.051,-0.316,-0.357,5.981,-24.170,-33.813
0.045,-0.334,-0.349,-7.568,-30.945,-29.602
0.054,-0.347,-0.327,-20.447,-39.185,-24.841
0.082,-0.357,-0.275,-32.227,-48.157,-19.775
0.096,-0.340,-0.216,-40.771,-57.129,-14.893
0.113,-0.311,-0.144,-44.922,-65.613,-11.658
0.120,-0.302,-0.110,-45.898,-71.228,-9.766
0.109,-0.292,-0.115,-46.021,-75.073,-8.301
0.088,-0.263,-0.135,-46.875,-78.918,-6.226
0.067,-0.222,-0.175,-48.950,-83.069,-3.662
0.032,-0.200,-0.215,-52.551,-88.928,-2.625
-0.001,-0.185,-0.205,-54.871,-98.816,-3.418
-0.014,-0.199,-0.120,-55.054,-111.145,-4.211
-0.017,-0.206,0.019,-51.025,-122.620,-5.981
